response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,log_2_fold_change,stage,z_orig,xi,omega,alpha,significant
X78,Epha4,560,45496,TRUE,0.010230668818452686,-0.05525053477332431,2,2.998647925316143,-0.048743902240134473,1.088483942472697,1.3192241285018425,FALSE
X33,Plxna2,387,87588,TRUE,0.010232227237582088,0.20299766869038294,2,3.5993189904245453,0.3066125632532404,1.1761305103204338,1.281742546033643,FALSE
X72,Id1,1288,117015,TRUE,0.010265296052240414,-0.32926857569137447,2,-4.624882260118369,-1.5509966172943002,2.9644248654716336,1.5594841844864902,FALSE
X76,Rel,656,80418,TRUE,0.010305799477528563,-0.08888408613145415,2,-1.776429555842367,0.3554614986927144,1.2106774937399853,0.7172142423264537,FALSE
X16,Icam2,893,121470,TRUE,0.010330881387121547,0.08693579002369578,2,2.133758338302691,-0.9477100860100771,1.1047738118839845,0.6596920990380166,FALSE
X44,Nr5a2,1313,100979,TRUE,0.010341942417904116,0.10364872047855922,2,3.4564928326636135,1.156643892611124,0.8228808323258933,0.8752698771238541,FALSE
X21,Klf2,602,94553,TRUE,0.01039291511123985,0.06522851465206347,2,2.3499287743681907,-0.27027841842980227,0.9380145300371857,0.8819675552468423,FALSE
X92,Gata2,557,56120,TRUE,0.0104,0.6014484642824565,3,7.020150320474052,NA,NA,NA,FALSE
X92,Plagl1,596,56081,TRUE,0.0104,0.38670985596320273,3,6.375181715619652,NA,NA,NA,FALSE
X67,Arnt,530,61767,TRUE,0.01040684807541316,0.25117855252192367,2,3.3985941085905487,0.6646377161726716,0.9791531114234852,0.826459489177594,FALSE
X63,Acvr2a,374,48859,TRUE,0.01041947048368791,0.023905607666203643,2,-0.8629502269071199,0.4703448530360309,1.1626583827959873,1.3831475067806644,FALSE
X34,Foxo1,1149,86418,TRUE,0.010428330562530008,-0.08338194943448585,2,-0.3090110566311469,1.0824926836795188,0.7430498082270663,0.6189459402278239,FALSE
X72,Nr2c2,981,117322,TRUE,0.010441200511567938,-0.3670099136277267,2,-4.427029040406444,-1.7704472498559418,3.150772962787798,1.9342562710868332,FALSE
X7,Nr4a2,1752,151926,TRUE,0.010445180098635092,0.04540396607668562,2,1.4634697717701388,-1.4874263365734754,1.0651198598173393,0.49245231165395587,FALSE
X91,Mest,470,52359,TRUE,0.010448930879084883,-0.37585029377239465,2,-2.5219144156428324,-1.380182920383381,1.2765321755340509,1.8208750820658015,FALSE
X67,Itgav,350,61947,TRUE,0.010467704632514202,-0.6854439176284779,2,-0.766227391370595,0.7046829045013163,1.0630100186419869,1.0811569480387708,FALSE
X72,Flrt2,1030,117273,TRUE,0.010500008015842721,-0.3917132842892528,2,-4.612462531451918,-1.7106250758794384,2.922608060356074,1.6278551918261281,FALSE
X24,Tfdp1,581,123690,TRUE,0.010501846601027556,0.15397988782558159,2,1.746530026867247,-1.1385195296873072,1.037849113858838,0.5977340807180033,FALSE
X3,Klf12,2021,140266,TRUE,0.010518449729562666,0.012004450416066348,2,2.895320544109348,0.09252460953770236,1.004880472335067,0.8591776829920895,FALSE
X57,Nr4a1,401,37694,TRUE,0.010551069088222441,-0.01071651700658105,2,2.981977596151374,0.37940934095176804,0.9332303559744392,0.915466027908018,FALSE
X72,Klf4,597,117706,TRUE,0.010557688631149642,-0.5089478992908383,2,-4.24245425019518,-2.055221888357467,3.205862391755839,2.36889013361852,FALSE
X98,Bmpr2,393,34952,TRUE,0.010580829499774947,0.5850854326146677,2,4.699670536797852,-1.1176335651823956,2.08595435531837,2.8146769153915008,FALSE
X14,Vezf1,1560,149765,TRUE,0.010603594316533974,0.047803203407029926,2,2.737471670992861,0.4908025465081493,0.8060938530128555,0.9091206989590965,FALSE
X89,Fzd6,186,43326,TRUE,0.010653956297405176,-0.5018391869934709,2,-2.203449309345834,-1.0770329159925751,1.0393514305140616,1.470620584783918,FALSE
X70,Pik3r3,394,37539,TRUE,0.010707130744097968,-0.15554798536721393,2,2.655117071902499,0.10227388728607678,0.9167297173184269,1.068066331401339,FALSE
X6,Acvr2a,823,129481,TRUE,0.01076998750536495,0.03274382569464507,2,2.835508620907655,-1.0347811205196915,1.3906632162303307,1.6467243644894025,FALSE
X56,Prdm5,202,47185,TRUE,0.01077025868154588,-0.1654647211846969,2,-0.7632753864567887,0.7592217065481313,1.1411777475593725,1.1297177064489974,FALSE
X29,Klf4,451,96432,TRUE,0.010776678615936786,-0.3362544732329722,2,-0.9983927318322519,0.1545577386032796,0.8223675571315396,1.0526274924210417,FALSE
X36,Mxi1,1073,109471,TRUE,0.01078152151526317,0.08866851166998657,2,1.7774954731572499,-0.3470228125617107,0.7647071233861046,0.7284487292175785,FALSE
X63,Dusp3,437,48796,TRUE,0.010797796991194493,0.1602968287384927,2,3.9043608944716257,0.5262292062685496,1.2141902122291033,1.3804195285917058,FALSE
X17,Disc1,319,112364,TRUE,0.010832101480688618,0.14157834741882525,2,1.7536051040471712,-1.0192431476107102,0.9970020587675129,1.5301598547330735,FALSE
X7,Nfia,2383,151295,TRUE,0.010906684924076253,0.034501052000972976,2,1.5084011536756214,-1.5799527983943131,1.1134853771752757,0.7059881875519131,FALSE
X74,Hsp90ab1,480,110059,TRUE,0.010945802152190917,-0.2646481047891447,2,-1.8572313309123234,-0.4973512551238697,0.8822155997748266,0.9036239688818698,FALSE
X23,Gng12,752,140086,TRUE,0.010977892246925261,-0.16214035211715228,2,-2.1966011558428464,-0.9003233749495542,0.7319204009589515,0.6921021900462089,FALSE
X61,Nrp1,647,85045,TRUE,0.010984047629271536,0.10044749800271102,2,1.3271134395303752,-0.5639405497674694,0.6836392907913795,0.6129382901797374,FALSE
X50,Rel,479,64604,TRUE,0.01105223136964345,-0.24186785054293392,2,-1.6785085030838294,-0.2742570841685804,0.9195502766102799,0.915153059474469,FALSE
X20,Rad21,665,86271,TRUE,0.011056752172476602,0.13493226877439035,2,2.5086942439354436,-0.29771435464432766,1.0114951258292249,1.496640262181487,FALSE
